YEAR,ORIGIN_NAME,RUN_TYPE_NAME,SPECIES_NAME,RETURNS_FORECASTS_STOCK_NAME,IS_UPRIVER,FISH_ORIGIN_NAME,FIN_CLIP_NAME,COUNT,RETURNS_FORECASTS_COUNT_TYPE_NAME,RETURNS_FORECASTS_SOURCE_NAME,COMMENT,CREATED_BY,CREATED_DATETIME,LAST_MODIFIED_DATETIME,LAST_MODIFIED_BY
2011,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,80574,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2012,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,58300,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2013,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,67603,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2014,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,78304,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2015,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,126900,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2016,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,91000,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2017,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,68204,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2018,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,42120,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2019,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,34619,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2020,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,65494,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2021,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,56800,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1980,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1980,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,31648,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1980,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,108,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1980,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,27130,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1980,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,35120,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,236,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,20681,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,22169,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,261,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,27889,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,31554,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,241,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,68833,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,112165,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,148,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,49573,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1985,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1985,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,104090,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1985,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,59,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1985,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,96575,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1985,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,40322,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,28,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,19613,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,84692,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,55,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,60799,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,69036,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,45,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,30676,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,20391,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,4,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,27080,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,8897,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,1,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,40856,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,33798,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,10,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,42676,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,52038,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,2,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,32960,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,39173,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,18,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,52519,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,1816,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,3,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,11039,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,5011,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,5,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,4646,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,21456,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,3,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,9437,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,34278,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,18,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,13174,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,7372,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,4,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,5844,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,13288,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,20,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,4570,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,69714,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,348,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,24409,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,82939,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,49,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,39363,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,12630,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,77,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,37777,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,33449,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,28,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,5898,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,96717,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,117,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,33294,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,,Sockeye,Okanagan River,TRUE,Total,,59728,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,,Sockeye,Snake River,TRUE,Total,,20,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,,Sockeye,Wenatchee River,TRUE,Total,,17629,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,,Sockeye,Yakima River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2006,Columbia River Mouth,,Sockeye,Deschutes River,TRUE,Total,,,Actual,CRITFC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
